TransitionGroupID,Timestep,TertiaryStratumID,Amount,srcClassID,destClassID
decid_2_to_decid_1 [Type],0,2,0,12,11
decid_3_to_decid_1 [Type],0,2,0,13,11
mixt_1_to_decid_1 [Type],0,2,0,21,11
mixt_2_to_decid_1 [Type],0,2,0,22,11
mixt_3_to_decid_1 [Type],0,2,0.18350341907227374,23,11
conif_1_to_decid_1 [Type],0,2,0,31,11
conif_2_to_decid_1 [Type],0,2,0,32,11
conif_3_to_decid_1 [Type],0,2,0,33,11
decid_1_to_decid_2 [Type],0,2,0,11,12
decid_3_to_decid_2 [Type],0,2,0,13,12
mixt_1_to_decid_2 [Type],0,2,0,21,12
mixt_2_to_decid_2 [Type],0,2,0,22,12
mixt_3_to_decid_2 [Type],0,2,0.2928932188134524,23,12
conif_1_to_decid_2 [Type],0,2,0,31,12
conif_2_to_decid_2 [Type],0,2,0,32,12
conif_3_to_decid_2 [Type],0,2,0,33,12
decid_1_to_decid_3 [Type],0,2,0,11,13
decid_2_to_decid_3 [Type],0,2,0,12,13
mixt_1_to_decid_3 [Type],0,2,0,21,13
mixt_2_to_decid_3 [Type],0,2,0,22,13
mixt_3_to_decid_3 [Type],0,2,0,23,13
conif_1_to_decid_3 [Type],0,2,0,31,13
conif_2_to_decid_3 [Type],0,2,0,32,13
conif_3_to_decid_3 [Type],0,2,0,33,13
decid_1_to_mixt_1 [Type],0,2,0,11,21
decid_2_to_mixt_1 [Type],0,2,0,12,21
decid_3_to_mixt_1 [Type],0,2,0,13,21
mixt_2_to_mixt_1 [Type],0,2,0,22,21
mixt_3_to_mixt_1 [Type],0,2,0.08712907082472332,23,21
conif_1_to_mixt_1 [Type],0,2,0,31,21
conif_2_to_mixt_1 [Type],0,2,0,32,21
conif_3_to_mixt_1 [Type],0,2,0,33,21
decid_1_to_mixt_2 [Type],0,2,0,11,22
decid_2_to_mixt_2 [Type],0,2,0,12,22
decid_3_to_mixt_2 [Type],0,2,0,13,22
mixt_1_to_mixt_2 [Type],0,2,0,21,22
mixt_3_to_mixt_2 [Type],0,2,0,23,22
conif_1_to_mixt_2 [Type],0,2,0,31,22
conif_2_to_mixt_2 [Type],0,2,0,32,22
conif_3_to_mixt_2 [Type],0,2,0,33,22
decid_1_to_mixt_3 [Type],0,2,0,11,23
decid_2_to_mixt_3 [Type],0,2,0,12,23
decid_3_to_mixt_3 [Type],0,2,0,13,23
mixt_1_to_mixt_3 [Type],0,2,0,21,23
mixt_2_to_mixt_3 [Type],0,2,0,22,23
conif_1_to_mixt_3 [Type],0,2,0,31,23
conif_2_to_mixt_3 [Type],0,2,0,32,23
conif_3_to_mixt_3 [Type],0,2,0,33,23
decid_1_to_conif_1 [Type],0,2,0,11,31
decid_2_to_conif_1 [Type],0,2,0,12,31
decid_3_to_conif_1 [Type],0,2,0,13,31
mixt_1_to_conif_1 [Type],0,2,0,21,31
mixt_2_to_conif_1 [Type],0,2,0,22,31
mixt_3_to_conif_1 [Type],0,2,0,23,31
conif_2_to_conif_1 [Type],0,2,0,32,31
conif_3_to_conif_1 [Type],0,2,0,33,31
decid_1_to_conif_2 [Type],0,2,0,11,32
decid_2_to_conif_2 [Type],0,2,0,12,32
decid_3_to_conif_2 [Type],0,2,0,13,32
mixt_1_to_conif_2 [Type],0,2,0,21,32
mixt_2_to_conif_2 [Type],0,2,0,22,32
mixt_3_to_conif_2 [Type],0,2,0,23,32
conif_1_to_conif_2 [Type],0,2,0,31,32
conif_3_to_conif_2 [Type],0,2,0.9900000000000005,33,32
decid_1_to_conif_3 [Type],0,2,0,11,33
decid_2_to_conif_3 [Type],0,2,0,12,33
decid_3_to_conif_3 [Type],0,2,0,13,33
mixt_1_to_conif_3 [Type],0,2,0,21,33
mixt_2_to_conif_3 [Type],0,2,0,22,33
mixt_3_to_conif_3 [Type],0,2,0,23,33
conif_1_to_conif_3 [Type],0,2,0,31,33
conif_2_to_conif_3 [Type],0,2,0.4226497308103745,32,33
decid_2_to_decid_1 [Type],0,3,0.1567259572884322,12,11
decid_3_to_decid_1 [Type],0,3,0,13,11
mixt_1_to_decid_1 [Type],0,3,0,21,11
mixt_2_to_decid_1 [Type],0,3,0,22,11
mixt_3_to_decid_1 [Type],0,3,0,23,11
conif_1_to_decid_1 [Type],0,3,0,31,11
conif_2_to_decid_1 [Type],0,3,0.07417990022744858,32,11
